source_table_index,S. No.,Recognition Number,Company Name,Company Address,Name & Address of the Company,Location of recognized In-House R&D Units,Valid Upto
234,1899.,TU/IV-RD/5066,SriBioAestheticsPvt.,"Ltd.H.No.5-35-319,Floor-1,SaiBaba Colony, Kukatpally,Hyderabad–500072 (Telangana)","SriBioAestheticsPvt. Ltd.H.No.5-35-319,Floor-1,SaiBaba Colony, Kukatpally,Hyderabad–500072 (Telangana)","Plot No. G - 49, TSIIC,General Industrial Park, IDA Sultanpur,Ameenpur Mandal, Dist. Sangareddy, (Telangana)",31.03.2027
236,1910.,TU/IV-RD/5077,Novelgene Technologies Pvt.,"Ltd. F 201, Sairam Towers, Hafeezpet-500049Hyderabad, (Telangana)","Novelgene Technologies Pvt. Ltd. F 201, Sairam Towers, Hafeezpet-500049Hyderabad, (Telangana)","1106, B Block, Asian Sun City,Kothaguda, Hyderabad, (Telangana)",31.03.2027
237,1921.,TU/IV-RD/5088,Lee Fine Chem Pvt.,"Ltd. Plot No. 157, V V Nagar Colony,Kukatpally, Hyderabad - 500 072 (Telangana)","Lee Fine Chem Pvt. Ltd. Plot No. 157, V V Nagar Colony,Kukatpally, Hyderabad - 500 072 (Telangana)","Survey No. 79, Plot No. 24, Phase-IV, IDA Jeedimetla, Gajula Ramaram Village, QuthbullapurMandal, Medchal-Malkajgiri District,Hyderabad (Telangana)",31.03.2027
238,1926.,TU/IV-RD/5093,SatyarxPharma Innovations Pvt.,"Ltd. 3rd Floor Block B, CDC Towers, Plot No. 10/8, Road No. 5, Nacharam IndustrialArea,Hyderabad - 500 076 (Telangana)","SatyarxPharma Innovations Pvt. Ltd. 3rd Floor Block B, CDC Towers, Plot No. 10/8, Road No. 5, Nacharam IndustrialArea,Hyderabad - 500 076 (Telangana)","3rd Floor Block B, CDC Towers, Plot No. 10/8, Road No. 5, Nacharam Industrial Area, Hyderabad, (Telangana)",31.03.2027
238,1928.,TU/IV-RD/5095,Apitoria Pharma Pvt.,"Ltd.Galaxy, Floors: 22-24, Plot No.-1, Survey No. 11, Survey No. 83/1, Hyderabad Knowledge City, Raidurg Panmaktha, RR District, Hyderabad -500 032 (Telangana)","Apitoria Pharma Pvt. Ltd.Galaxy, Floors: 22-24, Plot No.-1, Survey No. 11, Survey No. 83/1, Hyderabad Knowledge City, Raidurg Panmaktha, RR District, Hyderabad -500 032 (Telangana)","Sy. No. 71 & 72, Indrakaran Village Kandi Mandal, SangareddyDistrict, (Telangana)",31.03.2027
240,1942.,TU/IV-RD/5109,Virupaksha Organics Ltd.,"Plot No. B1, B2, IDA, Gandhi Nagar, Kukatpally, Medchal-Malkajgiri, Hyderabad -500 037 (Telangana)","Virupaksha Organics Ltd. Plot No. B1, B2, IDA, Gandhi Nagar, Kukatpally, Medchal-Malkajgiri, Hyderabad -500 037 (Telangana)","PlotNo.B1,B2,IDA,Gandhi Nagar, Kukatpally, Medchal-Malkajgiri, Hyderabad, (Telangana)",31.03.2028
240,1944.,TU/IV-RD/5111,New Hope Seeds India Pvt.,"Ltd. Flat No.- 205, Agri Niwas, Kompally, Hyderabad - 500 014(Telangana)","New Hope Seeds India Pvt. Ltd. Flat No.- 205, Agri Niwas, Kompally, Hyderabad - 500 014(Telangana)","Survey No. 141/3, Village-BandaThimmarpur, Mandal-Gajwel,Dist. Siddipet, (Telangana)",31.03.2028
241,1950.,TU/IV-RD/5117,Lorven Biologics Pvt.,"Ltd. Sy. No. 165, North Block Milestone Building, MedchalRoad,Hyderabad - 501 401 (Telangana)","Lorven Biologics Pvt. Ltd. Sy. No. 165, North Block Milestone Building, MedchalRoad,Hyderabad - 501 401 (Telangana)","D. No. 8-120/A, Survey No. 629/B/AA, Devaryamazal (V), Hyderabad, Shamirpet Mandal, Medchal Malkajgiri District, (Telangana)",31.03.2028
242,1958.,TU/IV-RD/5125,Amtec Life Sciences Pvt.,"Ltd. Plot No. 156, Phase - 3, IDA Cherlapally,Uppal, Hyderabad - 500 051(Telangana)","Amtec Life Sciences Pvt. Ltd. Plot No. 156, Phase - 3, IDA Cherlapally,Uppal, Hyderabad - 500 051(Telangana)","Lab No. - W201/3, 1st Floor, Neovantage Part, Building No.- 3600, Synergy Square- 3, Lalgadi Malakpet (V), Shameerpet (M),Hyderabad, (Telangana)",31.03.2028
242,1962.,TU/IV-RD/5129,SonamSeedTechnologies Pvt.,"Ltd. Flat No. A1, Plot No. 81, Silver Oak Residency, Gaffoornagar, Madhapur, Hyderabad - 500 081(Telangana)","SonamSeedTechnologies Pvt. Ltd. Flat No. A1, Plot No. 81, Silver Oak Residency, Gaffoornagar, Madhapur, Hyderabad - 500 081(Telangana)","Survey No. 288, 259 & 332, Village - Mokila, Mandal - Shankarpalli,District-Rangareddy, (Telangana)",31.03.2028
243,1970.,TU/IV-RD/5137,Rygen Biopharma Pvt.,"Ltd.H.No.1-26/3/A/4F/NR, 4th Floor, SS Towers, Gachibowli, Hyderabad – 500 032(Telangana)","Rygen Biopharma Pvt. Ltd.H.No.1-26/3/A/4F/NR, 4th Floor, SS Towers, Gachibowli, Hyderabad – 500 032(Telangana)","Neovantage (MN Park) Building 450, 2nd Floor, GenomeValley, Shameerpet, Turkapally, Hyderabad, (Telangana)",31.03.2028
244,1977.,TU/IV-RD/5144,UrbanKisaan Farms Pvt.,"Ltd. Plot No. 88, Ground Floor,ApparelExport Park, Gundlapochampally, Medchal,Hyderabad–501 401 (Telangana)","UrbanKisaan Farms Pvt. Ltd. Plot No. 88, Ground Floor,ApparelExport Park, Gundlapochampally, Medchal,Hyderabad–501 401 (Telangana)","Plot No. 88, Ground Floor, ApparelExportPark, Gundlapochampally, Medchal,Hyderabad, (Telangana)",31.03.2028
